chave,idade,corRaca,trancamentos,notaIngresso,escolaPublica,nota,falta,ultimoSemestre,quantidadeRematricula,numDisciplinaUltimo,tempoUniversidade,aprovados,matriculado,reprovado_falta,reprovado_media,sexo_code,estadoCivil_code,deficiencia_code,matutino,vespertino,noturno,tipoVaga_code,moraCampus,grande_area,tempo_2_grau_superior,evadido
3E73FA29-CA53-4162-8D52-E5A7B0FD369E,24.0,0,1,624.28,0,0.0,38.0,1.0,1,7,1,0.0,0.0,7.0,0.0,1,0,0,0,0,1,1,0,5,2,1
D87696A0-39D6-4789-8AE1-BE5664616EEF,24.0,0,1,599.7,0,4.433695652173912,15.26086956521739,5.0,6,1,6,14.0,0.0,5.0,4.0,1,0,0,0,0,1,1,0,5,2,1
0318080C-A135-4131-BC07-0592B7EA6F4E,33.0,1,1,544.56,0,0.0,56.4,1.0,1,10,1,0.0,0.0,10.0,0.0,1,0,0,0,0,1,1,0,6,20,0
0B04E287-95CE-4EB7-A468-F8BB0026BCD9,23.0,1,2,657.38,0,0.0,59.5,1.0,1,6,1,0.0,0.0,6.0,0.0,1,0,0,1,1,0,1,0,3,2,0
D6CC8487-1FE0-475E-A87B-569ED4535CDE,23.0,0,0,552.28,0,7.245581395348837,1.627906976744186,8.0,7,3,6,42.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,1,2,0
2C89BA11-59CD-4D6A-BE73-2F3567706EDF,25.0,0,0,546.18,0,5.222380952380953,10.952380952380953,4.0,5,4,6,13.0,0.0,5.0,3.0,1,0,0,0,0,1,1,0,6,6,0
AD8503F8-582D-4F62-A167-965164616965,28.0,0,2,545.38,0,5.198085106382978,12.27659574468085,7.0,10,2,11,31.0,1.0,11.0,4.0,0,0,0,1,1,0,1,0,5,4,0
FE270355-68C6-45D6-86D7-E354C9A01A9D,23.0,4,2,577.76,0,5.559354838709678,3.419354838709677,8.0,7,4,7,21.0,0.0,0.0,10.0,0,0,0,0,0,1,1,0,7,2,1
C1B2F1A9-0783-484A-99B4-2C7DAF70106C,24.0,1,1,488.34,1,2.914,18.0,1.0,1,5,1,0.0,0.0,2.0,3.0,0,0,0,0,0,1,1,0,7,4,1
742F0A49-7834-4D6D-A8B6-9EBA98913B30,24.0,1,1,508.7,0,3.5133333333333336,21.11111111111111,2.0,2,4,2,3.0,0.0,3.0,3.0,0,0,0,0,0,1,1,0,7,4,1
60DA7EAD-AF94-4D3B-8013-65BEFDF03B32,31.0,0,4,497.52,0,1.332,43.6,1.0,1,5,1,0.0,0.0,4.0,1.0,1,0,0,1,1,0,1,0,5,16,0
D73763B1-0F4F-4C88-BFBF-570C77C353C9,31.0,1,1,437.88,0,5.4037500000000005,5.875,8.0,5,2,5,25.0,0.0,3.0,4.0,1,0,0,1,1,0,1,0,5,12,0
AC635D21-2630-4F99-8592-648BF32B4558,26.0,1,0,603.88,1,6.554255319148936,6.638297872340425,9.0,6,3,5,45.0,0.0,0.0,2.0,0,0,0,1,1,0,1,0,5,8,0
84587E1A-783D-4CFA-AEC7-5FD720B7C87D,30.0,0,0,538.68,0,0.0,40.66666666666666,2.0,2,2,6,0.0,0.0,4.0,2.0,0,0,0,0,0,1,1,0,1,14,1
58CF77FC-46CD-41A8-B74F-2C0FAC7F28CC,25.0,0,0,507.1,1,7.2114,2.2,8.0,10,4,10,47.0,0.0,0.0,3.0,0,0,0,1,1,0,1,0,4,6,0
B4614924-3ED6-445F-88CA-F41F690F9288,42.0,0,1,482.76,0,7.135217391304349,0.9565217391304348,7.0,5,1,11,38.0,6.0,0.0,2.0,1,0,0,0,1,0,0,0,8,32,0
1782FEE7-BB9E-4F4B-AC77-AAF785044E14,26.0,1,1,607.14,0,2.372777777777778,22.88888888888889,1.0,5,3,10,6.0,0.0,6.0,6.0,1,0,0,0,1,0,0,0,1,10,1
1A303D25-FF6F-4A27-AB9D-DE4C6F2E1EB9,23.0,0,1,624.5,0,6.398,13.6,2.0,2,1,3,7.0,0.0,2.0,1.0,1,0,0,1,0,0,0,0,1,4,1
9737D021-AC81-470C-89CB-21393129E679,23.0,1,0,613.0,0,7.0878,3.36,10.0,6,2,6,23.0,0.0,0.0,2.0,1,0,0,1,1,0,0,0,3,4,0
31E61E5D-D426-4C41-9D2F-1FBF9200CAD6,23.0,1,2,491.12,0,1.871875,20.5,1.0,1,8,2,0.0,0.0,5.0,3.0,0,0,0,1,1,0,0,0,5,2,0
17718560-24F4-45A1-A4BB-968022A890AE,28.0,0,1,608.3,0,4.413181818181818,14.454545454545457,6.0,2,2,3,14.0,0.0,7.0,1.0,1,0,0,1,1,0,0,0,5,12,0
E8BA5F50-9BD2-46A6-8D77-191E1BBCCC88,30.0,1,0,561.96,0,5.847857142857143,16.0,8.0,6,1,6,20.0,0.0,6.0,2.0,0,0,0,1,0,0,0,0,6,14,0
4C485AB6-F781-4B0A-9F41-4ECB2B8E8828,25.0,0,0,597.9,0,6.693333333333333,10.4,3.0,3,5,4,12.0,0.0,3.0,0.0,1,0,0,1,0,0,0,0,6,6,1
7459B44C-47C1-4E81-9176-7E56DA6C0DF4,42.0,1,0,528.96,0,3.378571428571429,27.214285714285715,7.0,4,1,6,5.0,0.0,9.0,0.0,1,1,0,1,0,0,0,0,6,40,0
